scope,protocol,dataset,dataset_split,dataset_sha256,representation,model,pca_dim,n_samples,data_seed,split_id,train_samples,val_samples,test_samples,minority_label,test_minority_samples,svc_c,c_selection,c_grid,kernel_normalization,test_minority_f1,test_accuracy,test_auc
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,4,7221b42fdd1b16586e123f6084c97c463ce50dea4298c9496f7c35b7bf0b3712,80,10,10,normal,3,1.0,fixed,1.0,none,0.6666666666666666,0.8,0.9523809523809524
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,4,7221b42fdd1b16586e123f6084c97c463ce50dea4298c9496f7c35b7bf0b3712,80,10,10,normal,3,10.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,1.0,1.0,1.0
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,100,5,ba45e74565ea0db222d1ff8a684fbce42f9ae2bcdfad76a09952a3ef418908d6,80,10,10,normal,2,1.0,fixed,1.0,upstream_trace,0.6666666666666666,0.9,0.71875
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,5,ba45e74565ea0db222d1ff8a684fbce42f9ae2bcdfad76a09952a3ef418908d6,80,10,10,normal,2,1.0,fixed,1.0,none,0.6666666666666666,0.9,0.9375
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,5,ba45e74565ea0db222d1ff8a684fbce42f9ae2bcdfad76a09952a3ef418908d6,80,10,10,normal,2,10.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.6666666666666666,0.9,1.0
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,100,6,e0bc8ba1e89ad56ff52383df4d55159cd59920ee5c2a80f2dcc500fd00eb01cb,80,10,10,normal,3,1.0,fixed,1.0,upstream_trace,0.5,0.8,1.0
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,6,e0bc8ba1e89ad56ff52383df4d55159cd59920ee5c2a80f2dcc500fd00eb01cb,80,10,10,normal,3,1.0,fixed,1.0,none,0.5,0.8,1.0
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,6,e0bc8ba1e89ad56ff52383df4d55159cd59920ee5c2a80f2dcc500fd00eb01cb,80,10,10,normal,3,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.5,0.8,1.0
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,100,7,a5fe22ce134ef78d8756354f3fb09fdd959341e0eb5c53c03f5851c3a0c1c12a,80,10,10,normal,2,1.0,fixed,1.0,upstream_trace,0.0,0.7,0.4375
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,7,a5fe22ce134ef78d8756354f3fb09fdd959341e0eb5c53c03f5851c3a0c1c12a,80,10,10,normal,2,1.0,fixed,1.0,none,0.0,0.8,0.75
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,7,a5fe22ce134ef78d8756354f3fb09fdd959341e0eb5c53c03f5851c3a0c1c12a,80,10,10,normal,2,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.0,0.8,0.375
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,100,8,02b104b6392cf9dfb531a99dcf2b978dce7000028a8b27a66c95be0b1d670280,80,10,10,normal,2,1.0,fixed,1.0,upstream_trace,1.0,1.0,1.0
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,8,02b104b6392cf9dfb531a99dcf2b978dce7000028a8b27a66c95be0b1d670280,80,10,10,normal,2,1.0,fixed,1.0,none,0.6666666666666666,0.9,1.0
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,8,02b104b6392cf9dfb531a99dcf2b978dce7000028a8b27a66c95be0b1d670280,80,10,10,normal,2,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,1.0,1.0,1.0
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,100,9,1505d150e8f78a0d7b5f4de5939fd993b8a0ae15e63b02c8fbfb66beb7aae1c3,80,10,10,normal,3,1.0,fixed,1.0,upstream_trace,0.8,0.9,0.8333333333333334
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,100,9,1505d150e8f78a0d7b5f4de5939fd993b8a0ae15e63b02c8fbfb66beb7aae1c3,80,10,10,normal,3,1.0,fixed,1.0,none,0.8,0.9,0.8571428571428572
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,100,9,1505d150e8f78a0d7b5f4de5939fd993b8a0ae15e63b02c8fbfb66beb7aae1c3,80,10,10,normal,3,100.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.6666666666666666,0.8,0.8571428571428572
