scope,protocol,dataset,dataset_split,dataset_sha256,representation,model,pca_dim,n_samples,data_seed,split_id,train_samples,val_samples,test_samples,minority_label,test_minority_samples,svc_c,c_selection,c_grid,kernel_normalization,train_minority_f1,val_minority_f1,test_minority_f1,test_accuracy,test_auc
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,4,bbbd80a9b921c7f882e1ec40cb8e5ad48b84bd081cbf16432239d54557c4cdc2,400,50,50,normal,14,1.0,fixed,1.0,upstream_trace,0.0,0.9230769230769232,0.7647058823529411,0.84,0.8660714285714286
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,4,bbbd80a9b921c7f882e1ec40cb8e5ad48b84bd081cbf16432239d54557c4cdc2,400,50,50,normal,14,1.0,fixed,1.0,none,0.7909090909090909,0.782608695652174,0.7857142857142857,0.88,0.9325396825396824
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,4,bbbd80a9b921c7f882e1ec40cb8e5ad48b84bd081cbf16432239d54557c4cdc2,400,50,50,normal,14,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.832579185520362,0.88,0.72,0.86,0.9444444444444444
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,5,4d2450e095f5efc89e0af184083fe6ea25ab5cccdded480fecf0882c21310f9c,400,50,50,normal,12,1.0,fixed,1.0,upstream_trace,0.0,0.8461538461538461,0.8148148148148148,0.9,0.9057017543859648
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,5,4d2450e095f5efc89e0af184083fe6ea25ab5cccdded480fecf0882c21310f9c,400,50,50,normal,12,1.0,fixed,1.0,none,0.8725490196078431,0.8333333333333334,0.8461538461538461,0.92,0.9692982456140352
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,5,4d2450e095f5efc89e0af184083fe6ea25ab5cccdded480fecf0882c21310f9c,400,50,50,normal,12,0.1,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.8172043010752689,0.8181818181818182,0.9166666666666666,0.96,0.969298245614035
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,6,b740fb899d767bea8a9ce5b6002f7b74a12f307bd862c98020293447e7b63540,400,50,50,normal,13,1.0,fixed,1.0,upstream_trace,0.0,0.88,0.9166666666666666,0.96,0.9615384615384616
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,6,b740fb899d767bea8a9ce5b6002f7b74a12f307bd862c98020293447e7b63540,400,50,50,normal,13,1.0,fixed,1.0,none,0.7540983606557377,0.8333333333333334,0.8181818181818182,0.92,0.9667359667359668
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,6,b740fb899d767bea8a9ce5b6002f7b74a12f307bd862c98020293447e7b63540,400,50,50,normal,13,0.1,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.718562874251497,0.9090909090909092,0.8181818181818182,0.92,0.9625779625779626
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,7,64d98918d85162e334f688b5a2643dfe256a89d0ee0e9fef384061bb29e532de,400,50,50,normal,11,1.0,fixed,1.0,upstream_trace,0.0,0.88,0.7619047619047619,0.9,0.8834498834498833
